"青沥备开","2014斥_芭林磊_醚牢备荐","2014斥_芭林磊_楷飞备埃牢备荐","2014斥_芭林磊_0~4技","2014斥_芭林磊_5~9技","2014斥_芭林磊_10~14技","2014斥_芭林磊_15~19技","2014斥_芭林磊_20~24技","2014斥_芭林磊_25~29技","2014斥_芭林磊_30~34技","2014斥_芭林磊_35~39技","2014斥_芭林磊_40~44技","2014斥_芭林磊_45~49技","2014斥_芭林磊_50~54技","2014斥_芭林磊_55~59技","2014斥_芭林磊_60~64技","2014斥_芭林磊_65~69技","2014斥_芭林磊_70~74技","2014斥_芭林磊_75~79技","2014斥_芭林磊_80~84技","2014斥_芭林磊_85~89技","2014斥_芭林磊_90~94技","2014斥_芭林磊_95~99技","2014斥_芭林磊_100技 捞惑"
"堡林堡开矫 合备 滴鞠1悼(2917066100)","9,032","9,032","242","302","441","648","670","567","602","555","687","741","769","729","601","574","411","275","131","67","14","6","0"
"堡林堡开矫 合备 滴鞠2悼(2917066200)","19,221","19,221","700","743","980","1,474","1,591","1,261","1,430","1,257","1,418","1,664","1,735","1,509","1,148","852","647","422","239","108","32","10","1"
"堡林堡开矫 合备 滴鞠3悼(2917066300)","16,343","16,343","433","478","695","1,100","1,259","1,103","1,038","908","1,062","1,313","1,617","1,647","1,025","848","704","563","353","135","51","11","0"
"堡林堡开矫 合备 伙阿悼(2917066600)","12,939","12,939","515","535","793","1,235","1,195","838","899","887","1,163","1,341","1,172","847","485","381","287","194","94","53","20","5","0"
"堡林堡开矫 合备 老邦悼(2917066900)","33,215","33,215","1,341","2,047","3,117","3,905","2,696","1,487","1,729","2,293","3,904","3,710","2,646","1,469","702","616","600","472","320","118","36","5","2"
"堡林堡开矫 合备 概邦悼(2917067300)","15,204","15,204","724","876","1,084","1,304","1,230","904","1,056","1,111","1,392","1,401","1,258","949","573","430","363","261","171","86","23","6","2"
"堡林堡开矫 合备 坷摹1悼(2917067600)","12,987","12,987","484","530","699","1,071","1,124","837","964","904","1,102","1,244","1,179","947","615","490","359","228","130","63","15","2","0"
"堡林堡开矫 合备 坷摹2悼(2917067700)","14,675","14,675","408","362","638","1,091","1,295","1,139","1,086","848","1,031","1,229","1,495","1,384","775","624","480","373","272","105","32","7","1"
"堡林堡开矫 合备 籍邦悼(2917068500)","2,784","2,784","31","57","91","131","168","150","148","113","165","196","291","279","240","201","187","170","89","51","23","2","1"
"堡林堡开矫 合备 扒惫悼(2917069500)","42,768","42,768","3,593","3,098","2,826","2,747","2,452","2,420","4,720","4,805","4,391","3,246","2,602","1,883","1,163","935","759","546","323","183","62","12","2"
"堡林堡开矫 合备 剧魂悼(2917069600)","36,142","36,142","2,318","2,199","2,457","2,760","2,513","2,130","3,203","3,247","3,533","3,163","2,575","1,966","1,291","987","773","531","288","155","47","5","1"
