"青沥备开","2015斥_芭林磊_醚牢备荐","2015斥_芭林磊_楷飞备埃牢备荐","2015斥_芭林磊_0~4技","2015斥_芭林磊_5~9技","2015斥_芭林磊_10~14技","2015斥_芭林磊_15~19技","2015斥_芭林磊_20~24技","2015斥_芭林磊_25~29技","2015斥_芭林磊_30~34技","2015斥_芭林磊_35~39技","2015斥_芭林磊_40~44技","2015斥_芭林磊_45~49技","2015斥_芭林磊_50~54技","2015斥_芭林磊_55~59技","2015斥_芭林磊_60~64技","2015斥_芭林磊_65~69技","2015斥_芭林磊_70~74技","2015斥_芭林磊_75~79技","2015斥_芭林磊_80~84技","2015斥_芭林磊_85~89技","2015斥_芭林磊_90~94技","2015斥_芭林磊_95~99技","2015斥_芭林磊_100技 捞惑","2016斥_芭林磊_醚牢备荐","2016斥_芭林磊_楷飞备埃牢备荐","2016斥_芭林磊_0~4技","2016斥_芭林磊_5~9技","2016斥_芭林磊_10~14技","2016斥_芭林磊_15~19技","2016斥_芭林磊_20~24技","2016斥_芭林磊_25~29技","2016斥_芭林磊_30~34技","2016斥_芭林磊_35~39技","2016斥_芭林磊_40~44技","2016斥_芭林磊_45~49技","2016斥_芭林磊_50~54技","2016斥_芭林磊_55~59技","2016斥_芭林磊_60~64技","2016斥_芭林磊_65~69技","2016斥_芭林磊_70~74技","2016斥_芭林磊_75~79技","2016斥_芭林磊_80~84技","2016斥_芭林磊_85~89技","2016斥_芭林磊_90~94技","2016斥_芭林磊_95~99技","2016斥_芭林磊_100技 捞惑"
"堡林堡开矫 合备 滴鞠1悼(2917066100)","9,056","9,056","233","293","375","629","741","572","558","531","680","733","777","773","589","605","438","291","133","81","18","6","0","8,717","8,717","195","281","333","569","740","549","497","532","577","748","704","796","595","601","436","307","155","73","23","5","1"
"堡林堡开矫 合备 滴鞠2悼(2917066200)","18,737","18,737","702","764","840","1,336","1,580","1,200","1,323","1,198","1,329","1,636","1,626","1,598","1,171","897","687","429","249","119","38","14","1","18,464","18,464","676","755","774","1,236","1,564","1,159","1,193","1,237","1,270","1,526","1,631","1,650","1,241","970","670","457","278","122","44","9","2"
"堡林堡开矫 合备 滴鞠3悼(2917066300)","16,144","16,144","391","474","590","1,015","1,246","1,027","988","894","1,072","1,245","1,531","1,715","1,130","906","709","610","373","172","45","11","0","15,752","15,752","351","446","533","912","1,160","1,014","910","874","962","1,225","1,463","1,739","1,240","918","733","624","384","197","51","15","1"
"堡林堡开矫 合备 伙阿悼(2917066600)","12,814","12,814","478","551","691","1,176","1,256","858","788","875","1,082","1,327","1,189","928","534","410","286","193","109","56","24","3","0","13,962","13,962","538","662","719","1,176","1,358","910","871","969","1,162","1,372","1,343","1,060","617","439","296","233","142","62","24","8","1"
"堡林堡开矫 合备 老邦悼(2917066900)","33,120","33,120","1,318","1,926","2,793","3,844","2,850","1,587","1,696","2,223","3,598","3,839","2,756","1,701","797","637","585","486","308","135","32","8","1","32,826","32,826","1,234","1,860","2,620","3,599","2,982","1,657","1,598","2,115","3,294","3,940","2,837","1,890","907","650","571","536","335","154","37","8","2"
"堡林堡开矫 合备 概邦悼(2917067300)","15,025","15,025","723","833","1,005","1,299","1,199","870","946","1,111","1,338","1,411","1,222","1,002","659","451","377","268","171","105","26","6","3","14,861","14,861","691","791","939","1,256","1,176","883","910","1,073","1,233","1,453","1,211","1,084","710","446","389","291","183","101","33","6","2"
"堡林堡开矫 合备 坷摹1悼(2917067600)","12,926","12,926","460","537","606","1,040","1,143","793","884","907","1,051","1,225","1,205","1,027","674","529","367","251","138","65","16","8","0","12,666","12,666","432","520","558","941","1,117","810","777","923","940","1,213","1,200","1,085","707","529","403","270","139","73","21","7","1"
"堡林堡开矫 合备 坷摹2悼(2917067700)","14,319","14,319","386","346","525","991","1,296","1,068","1,041","830","947","1,152","1,455","1,427","882","660","473","400","288","111","33","7","1","14,115","14,115","404","334","446","924","1,191","1,045","1,022","846","867","1,111","1,359","1,514","957","716","472","447","278","137","36","8","1"
"堡林堡开矫 合备 籍邦悼(2917068500)","2,781","2,781","38","65","74","120","157","161","141","117","154","190","287","292","243","211","183","172","97","55","20","4","0","2,747","2,747","36","67","65","119","133","157","115","111","142","197","255","322","262","214","171","182","111","64","20","4","0"
"堡林堡开矫 合备 扒惫悼(2917069500)","45,962","45,962","3,953","3,568","2,835","2,929","2,690","2,330","4,740","5,295","4,753","3,619","2,740","2,154","1,355","1,024","764","582","345","206","67","10","3","46,451","46,451","3,840","3,676","2,806","2,943","2,794","2,253","4,264","5,377","4,757","3,901","2,841","2,373","1,473","1,126","749","616","359","224","61","17","1"
"堡林堡开矫 合备 剧魂悼(2917069600)","36,336","36,336","2,290","2,146","2,244","2,809","2,650","2,063","3,039","3,232","3,511","3,230","2,585","2,175","1,404","1,047","799","540","344","163","49","14","2","36,006","36,006","2,146","2,128","2,076","2,712","2,639","2,131","2,815","3,275","3,318","3,219","2,611","2,334","1,535","1,071","806","588","357","172","49","20","4"
